Order Date,Category,Item Name,Supplier,Quantity,Unit Cost,Total Cost
2023-01-02,Food,Great Value Large Eggs (1 Dozen),FOD-003,26,2.53,65.68
2023-01-02,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,49,1.14,55.66
2023-01-02,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,51,3.39,172.93
2023-01-02,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,26,4.39,114.19
2023-01-02,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,41,7.86,322.35
2023-01-02,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,19,4.45,84.63
2023-01-02,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,34,3.09,105.06
2023-01-02,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,37,5.91,218.53
2023-01-02,Textiles,Men's Regular Fit Jeans,TXT-001,36,14.77,531.57
2023-01-02,Textiles,Women's Skinny Jeans,TXT-003,22,15.19,334.09
2023-01-09,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,18,75.37,1356.57
2023-01-09,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,18,56.26,1012.67
2023-01-09,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,16,267.14,4274.28
2023-01-09,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,13,37.25,484.28
2023-01-09,Food,Coca-Cola Soda (12-pack Cans),FOD-003,28,5.24,146.76
2023-01-09,Food,Great Value Large Eggs (1 Dozen),FOD-003,47,2.53,118.94
2023-01-09,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,47,4.32,203.13
2023-01-09,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,35,4.25,148.66
2023-01-09,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,24,4.97,119.26
2023-01-09,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,39,2.84,110.75
2023-01-09,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,36,2.87,103.45
2023-01-09,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,17,5.36,91.07
2023-01-16,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,9,5.27,47.46
2023-01-16,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,22,23.15,509.36
2023-01-16,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,23,89.26,2053.09
2023-01-16,Electronics,Roku Express HD Streaming Media Player,ELC-001,20,18,360.08
2023-01-16,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,26,7.68,199.62
2023-01-16,Food,Bananas (by the pound),FOD-003,31,0.68,21.19
2023-01-16,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,43,1.21,51.86
2023-01-16,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,27,4.89,131.93
2023-01-16,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,31,4.75,147.13
2023-01-16,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,32,5.13,164.03
2023-01-23,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,23,73.71,1695.31
2023-01-23,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,20,63.72,1274.31
2023-01-23,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,9,20.89,188.02
2023-01-23,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,15,244.95,3674.24
2023-01-23,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,12,92.29,1107.5
2023-01-23,Food,Bananas (by the pound),FOD-003,42,0.71,29.74
2023-01-23,Food,Fresh Strawberries (1 lb),FOD-001,46,3.08,141.62
2023-01-30,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,7,77.46,542.23
2023-01-30,Electronics,Roku Express HD Streaming Media Player,ELC-002,9,18.99,170.87
2023-01-30,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,20,139.46,2789.2
2023-01-30,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,26,8.77,228.14
