Item Name,Company,Quantity,Cargo Size (cm x cm),Weight (g)
Roku Express HD Streaming Media Player,Roku,500,20 x 15,300
Apple AirPods (2nd Gen) with Charging Case,Apple,200,10 x 10,200
Onn. 24" 720p HD LED TV,Onn.,100,60 x 40,3000
HP 15.6" Laptop (Intel Core i3, 8GB RAM, 256GB SSD),HP,50,45 x 30,2500
Xbox Series S Console,Microsoft,30,35 x 30,3500
Sony WH-CH520 Wireless On-Ear Headphones,Sony,150,20 x 20,400
Energizer Max AA Batteries (8-pack),Energizer,1000,10 x 5,200
Google Nest Mini (2nd Gen) Smart Speaker,Google,200,15 x 15,300
SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,SanDisk,800,8 x 3,15
Belkin BoostCharge 10W Wireless Charger Pad,Belkin,100,12 x 12,150
Samsung Galaxy Tab A8 10.5" Tablet (32GB),Samsung,80,30 x 20,800
JBL Flip 6 Portable Bluetooth Speaker,JBL,120,25 x 10,600
Nintendo Switch OLED Model Console,Nintendo,40,40 x 30,4000
TP-Link Archer AX1500 Wi-Fi 6 Router,TP-Link,70,30 x 25,700
Canon Pixma MG2522 All-in-One Printer,Canon,60,45 x 35,4500
Duracell CopperTop AA Batteries (20-pack),Duracell,800,15 x 7,450
Amazon Echo Dot (5th Gen) Smart Speaker,Amazon,180,12 x 12,250
Logitech M310 Wireless Mouse,Logitech,700,20 x 15,100
HP 27fw Full HD IPS Monitor,HP,40,70 x 45,5000
Google Chromecast with Google TV (4K),Google,250,18 x 12,250
Roku Streaming Stick 4K,Roku,400,18 x 10,200
Acer Chromebook 315 (Intel Celeron, 4GB RAM),Acer,70,40 x 28,2000
WD Elements 1TB Portable External Hard Drive,Western Digital,150,15 x 10,250
Apple EarPods with Lightning Connector,Apple,300,8 x 5,50
onn. 50" 4K UHD Smart TV,Onn.,80,120 x 75,10000
Sony PlayStation 5 DualSense Wireless Controller,Sony,90,20 x 18,350
Xbox Series X Wireless Controller,Microsoft,90,20 x 18,350
Razer Kishi V2 Mobile Gaming Controller,Razer,60,25 x 15,300
Blink Mini Indoor Plug-in Smart Security Camera,Blink,200,10 x 10,150
Ring Video Doorbell Wired,Ring,100,15 x 10,300
TP-Link Kasa Smart Plug Mini (2-pack),TP-Link,300,12 x 8,100
GE Cync Smart Light Bulb (Color, A19),GE,250,12 x 7,80
Energizer Max AAA Batteries (8-pack),Energizer,900,10 x 5,150
SanDisk Ultra 128GB microSDXC Card,SanDisk,600,8 x 3,10
Anker PowerCore III Sense 10K Portable Charger,Anker,180,20 x 10,350
Philips Sonicare ProtectiveClean 4100 Electric Toothbrush,Philips,80,25 x 15,400
Samsung Galaxy Watch 4 (40mm),Samsung,50,10 x 10,250
Fitbit Inspire 3 Fitness Tracker,Fitbit,100,15 x 8,100
Netgear Nighthawk R6700 Wi-Fi Router,Netgear,50,35 x 25,800
HP DeskJet 2755e All-in-One Printer,HP,55,45 x 35,4000
Canon EOS Rebel T7 DSLR Camera Kit,Canon,20,25 x 20,1500
GoPro HERO11 Black Camera,GoPro,30,20 x 15,500
Acer Nitro 5 15.6" Gaming Laptop,Acer,25,50 x 35,3000
CyberPowerPC Gamer Master Gaming Desktop,CyberPowerPC,15,60 x 50,10000
Dell Inspiron 24 All-in-One PC,Dell,20,70 x 50,8000
Epson EcoTank ET-2800 Wireless Color Printer,Epson,45,50 x 40,5000
JBL Tune 710BT Wireless Over-Ear Headphones,JBL,130,22 x 20,350
Bose QuietComfort Earbuds II,Bose,70,12 x 10,200
Logitech C920s HD Pro Webcam,Logitech,100,15 x 10,150
Acer SB220Q Bi 21.5" IPS Monitor,Acer,60,55 x 35,2800
onn. 3.1 Channel Soundbar with Wireless Subwoofer,Onn.,50,100 x 40,7000
Turtle Beach Recon 70 Gaming Headset,Turtle Beach,180,20 x 18,300
RCA 32" Class 720P HD LED TV,RCA,90,75 x 50,4000
Victrola Journey+ Bluetooth Record Player,Victrola,40,35 x 30,2000
Fujifilm Instax Mini 12 Instant Camera,Fujifilm,100,15 x 12,300
Ring Stick Up Cam Battery,Ring,80,15 x 10,400
Google Nest Hub (2nd Gen) Smart Display,Google,150,20 x 15,600
TP-Link Deco X20 Mesh Wi-Fi System (2-pack),TP-Link,40,30 x 20,1500
Mr. Coffee 5-Cup Programmable Coffee Maker,Mr. Coffee,200,25 x 20,1200
Ninja Foodi Smart XL 6-in-1 Indoor Grill,Ninja,30,50 x 40,9000
Apple Watch SE (2nd Gen),Apple,60,10 x 10,250
Garmin Forerunner 55 Running Watch,Garmin,40,12 x 10,200
Bose SoundLink Flex Bluetooth Speaker,Bose,90,25 x 10,600
Skullcandy Sesh Evo True Wireless Earbuds,Skullcandy,200,10 x 8,100
Amazon Fire HD 8 Tablet (32GB),Amazon,100,25 x 18,600
Acer Aspire 3 15.6" Laptop,Acer,60,45 x 30,2500
Brother MFC-J4335DW Wireless All-in-One Printer,Brother,40,50 x 40,7000
WD My Passport 2TB Portable Hard Drive,Western Digital,100,15 x 10,300
Sony SRS-XB100 Wireless Speaker,Sony,150,10 x 10,280
Samsung T7 Portable SSD 1TB,Samsung,80,12 x 8,100
Xbox Game Pass Ultimate (3 Month Code),Microsoft,250,15 x 10,10
PlayStation Store Gift Card ($25),Sony,300,10 x 5,5
Nintendo eShop Gift Card ($20),Nintendo,300,10 x 5,5
Logitech H390 USB Headset,Logitech,120,20 x 18,200
RCA 2-Device Universal Remote Control,RCA,400,20 x 8,100
GE LED Smart Bulb (Soft White),GE,300,12 x 7,80
TP-Link TL-WR841N Wireless N Router,TP-Link,80,25 x 20,500
Anker Powerline+ II USB-C to Lightning Cable (6ft),Anker,200,15 x 8,50
Philips AA Batteries (12-pack),Philips,700,12 x 6,300
onn. HDMI Cable (6ft),Onn.,500,15 x 10,150
Duracell CopperTop AAA Batteries (12-pack),Duracell,850,12 x 6,250
SanDisk Extreme Portable SSD 1TB,SanDisk,70,15 x 10,150
TP-Link Kasa Smart Wi-Fi Power Strip,TP-Link,80,30 x 10,600
Google Nest Doorbell (Battery),Google,70,20 x 15,500
Samsung Galaxy A14 5G (Prepaid, T-Mobile),Samsung,40,20 x 10,400
TracFone Motorola Moto g Play (2023) Prepaid,Motorola,60,20 x 10,400
Straight Talk iPhone SE (3rd Gen) Prepaid,Apple,30,20 x 10,400
OtterBox Commuter Series Case for iPhone,OtterBox,100,20 x 12,100
PopSockets PopGrip for Phones,PopSockets,200,10 x 8,30
JBL Tune 230NC TWS Noise Cancelling Earbuds,JBL,100,12 x 10,150
Bose QuietComfort 45 Headphones,Bose,50,25 x 20,500
Skullcandy Crusher Evo Wireless Headphones,Skullcandy,80,25 x 20,600
Canon PIXMA TS3522 Wireless All-in-One Printer,Canon,70,40 x 35,4000
HP Envy 6055e All-in-One Printer,HP,65,45 x 35,4500
Logitech MK270 Wireless Keyboard and Mouse Combo,Logitech,150,50 x 20,800
Razer DeathAdder Essential Gaming Mouse,Razer,120,15 x 10,150
Corsair HS35 Stereo Gaming Headset,Corsair,90,25 x 20,400
Sony PlayStation VR2 Headset,Sony,15,40 x 30,4000
Meta Quest 2 VR Headset (128GB),Meta,20,35 x 25,3500
Amazon Fire TV Stick 4K Max,Amazon,180,18 x 10,150
onn. Universal TV Remote Control,Onn.,300,20 x 8,100
Sterilite 3-Drawer Cart (White),Sterilite,50,60 x 40,2500
GE Smart Switch (In-Wall),GE,80,10 x 8,100
D-Link Wi-Fi Smart Plug (2-pack),D-Link,120,12 x 8,100
Belkin Surge Protector (6-Outlet),Belkin,180,30 x 10,400
APC Back-UPS 600VA UPS,APC,40,30 x 20,4000
TP-Link Kasa Smart Video Doorbell,TP-Link,60,20 x 15,500
Roku Ultra Streaming Device,Roku,100,25 x 20,450
