"Item Name",Company,Quantity,"Cargo Size (cm x cm)","Weight (g)",SKU,"Location (WH-Aisle-Bin)",Lead Time (Days),"Reorder Point (Units)","Unit Cost ($)",Suppliers,"Lot/Batch Number",Storage Conditions
"Roku Express HD Streaming Media Player",Roku,500,"20 x 15",300,RK-EXP-HD-001,"WH001-A15-B03",7,100,19.99,"ELE-001,ELE-003",RXP202505ABC,Standard
"Apple AirPods (2nd Gen) with Charging Case",Apple,200,"10 x 10",200,AP-AIRP-GEN2-001,"WH001-A22-B10",14,50,79.00,"ELE-002,ELE-003",AP2506XYZ01,Standard
"Onn. 24"" 720p HD LED TV",Onn.,100,"60 x 40",3000,ONN-TV24HD-001,"WH002-C05-R02",10,20,55.00,"ELE-001,ELE-002",ONTV2505D01,Fragile
"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",HP,50,"45 x 30",2500,HP-LAP-I3-001,"WH002-C01-R01",21,15,250.00,"ELE-001,ELE-003",HPL2506QW02,Fragile
"Xbox Series S Console",Microsoft,30,"35 x 30",3500,XB-SER-S-CON-001,"WH002-B08-R05",18,10,225.00,"ELE-002,ELE-001",XBS2506FG03,Fragile
"Sony WH-CH520 Wireless On-Ear Headphones",Sony,150,"20 x 20",400,SN-HP-WH520-001,"WH001-A18-B07",8,30,35.00,"ELE-003,ELE-002",SNY2505LM04,Standard
"Energizer Max AA Batteries (8-pack)",Energizer,1000,"10 x 5",200,EN-BAT-AA8-001,"WH001-A05-B01",5,200,5.50,"ELE-003,ELE-001",ENBAT2506NP05,Standard
"Google Nest Mini (2nd Gen) Smart Speaker",Google,200,"15 x 15",300,GG-NEST-MINI-001,"WH001-A16-B04",10,40,22.00,"ELE-001,ELE-002",GGM2505RS06,Standard
"SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive",SanDisk,800,"8 x 3",15,SD-USB-64G-001,"WH001-A08-B02",7,150,8.00,"ELE-003,ELE-002",SDG2506TV07,Standard
"Belkin BoostCharge 10W Wireless Charger Pad",Belkin,100,"12 x 12",150,BLKN-WC-10W-001,"WH001-A09-B05",9,25,12.00,"ELE-001,ELE-003",BLC2505WX08,Standard
"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",Samsung,80,"30 x 20",800,SAM-TAB-A8-001,"WH002-C03-R03",15,20,130.00,"ELE-002,ELE-003",SGT2506YU09,Fragile
"JBL Flip 6 Portable Bluetooth Speaker",JBL,120,"25 x 10",600,JBL-FLIP6-SPK-001,"WH001-A17-B06",8,25,85.00,"ELE-001,ELE-002",JBF2505IO10,Standard
"Nintendo Switch OLED Model Console",Nintendo,40,"40 x 30",4000,NIN-SWOLED-001,"WH002-B07-R04",20,10,280.00,"ELE-003,ELE-001",NSW2506PA11,Fragile
"TP-Link Archer AX1500 Wi-Fi 6 Router",TP-Link,70,"30 x 25",700,TPL-RTR-AX15-001,"WH001-A10-B08",10,15,55.00,"ELE-001,ELE-003",TPL2505SD12,Standard
"Canon Pixma MG2522 All-in-One Printer",Canon,60,"45 x 35",4500,CAN-PRT-MG25-001,"WH002-D01-R01",15,15,59.00,"ELE-002,ELE-003",CPM2506FG13,Standard
"Duracell CopperTop AA Batteries (20-pack)",Duracell,800,"15 x 7",450,DRCL-BAT-AA20-001,"WH001-A05-B02",5,150,12.00,"ELE-001,ELE-002",DRC2506JK14,Standard
"Amazon Echo Dot (5th Gen) Smart Speaker",Amazon,180,"12 x 12",250,AMZN-ECDOT5-001,"WH001-A16-B05",9,40,25.00,"ELE-002,ELE-003",AMZ2505ZX15,Standard
"Logitech M310 Wireless Mouse",Logitech,700,"20 x 15",100,LOG-MOU-M310-001,"WH001-A08-B03",6,140,12.00,"ELE-001,ELE-002",LOG2506CV16,Standard
"HP 27fw Full HD IPS Monitor",HP,40,"70 x 45",5000,HP-MON-27FW-001,"WH002-C04-R03",18,10,160.00,"ELE-003,ELE-001",HPM2506BN17,Fragile
"Google Chromecast with Google TV (4K)",Google,250,"18 x 12",250,GG-CHRM-4K-001,"WH001-A15-B04",8,50,35.00,"ELE-002,ELE-003",GGC2505RT18,Standard
"Roku Streaming Stick 4K",Roku,400,"18 x 10",200,RK-STK-4K-001,"WH001-A15-B05",7,80,25.00,"ELE-001,ELE-002",RKS2505YU19,Standard
"Acer Chromebook 315 (Intel Celeron, 4GB RAM)",Acer,70,"40 x 28",2000,ACR-CB315-001,"WH002-C02-R02",20,15,180.00,"ELE-003,ELE-001",ACB2506AS20,Fragile
"WD Elements 1TB Portable External Hard Drive",Western Digital,150,"15 x 10",250,WD-HDD-1TB-001,"WH001-A07-B09",10,30,45.00,"ELE-002,ELE-003",WDE2505DF21,Standard
"Apple EarPods with Lightning Connector",Apple,300,"8 x 5",50,AP-EPD-LGT-001,"WH001-A22-B11",14,60,15.00,"ELE-001,ELE-002",APE2506GH22,Standard
"onn. 50"" 4K UHD Smart TV",Onn.,80,"120 x 75",10000,ONN-TV504K-001,"WH002-C06-R01",12,15,220.00,"ELE-003,ELE-001",ONT504K2505E23,Fragile
