"Item Name",Company/Brand,Quantity,Cargo Size (cm x cm),Weight (g),SKU,Location (WH-Aisle-Bin),Lead Time (Days),Reorder Point (Units),Unit Cost ($),Lot/Batch Number,Season,Material,Size,Suppliers
"Men's Basic Crewneck T-Shirt",George,1500,25 x 20,180,GEO-M-TSH-CRN-L,AP001-M01-A01,7,300,3.50,GT001BATCHA,All-Season,Cotton,L,"TXT-001,TXT-002"
"Women's V-Neck T-Shirt",Faded Glory,1800,25 x 20,160,FAD-W-TSH-VNK-M,AP001-W01-A02,7,360,3.20,FV002BATCHB,All-Season,Cotton Blend,M,"TXT-002,TXT-003"
"Kids' Graphic Tee",Wonder Nation,2000,20 x 18,120,WN-K-TEE-GRF-S,AP001-K01-A03,6,400,2.80,WG003BATCHC,All-Season,Cotton,S,"TXT-001,TXT-003"
"Men's Regular Fit Jeans",Athletic Works,800,35 x 25,750,ATH-M-JEANS-32x32,AP002-M02-B01,10,160,15.00,AD004BATCHD,All-Season,Denim,32x32,"TXT-001,TXT-002"
"Women's Skinny Jeans",Faded Glory,1000,35 x 25,680,FAD-W-JEANS-8,AP002-W02-B02,10,200,14.50,FJ005BATCHE,All-Season,Stretch Denim,8,"TXT-002,TXT-003"
"Toddler Boys' Pull-On Pants",Wonder Nation,1200,28 x 20,300,WN-TB-PNTS-2T,AP002-K02-B03,8,240,7.00,WP006BATCHF,All-Season,Cotton Blend,2T,"TXT-001,TXT-003"
"Men's Fleece Hoodie",George,600,40 x 30,500,GEO-M-HOOD-L,AP003-M03-C01,9,120,12.00,GH007BATCHG,Fall/Winter,Fleece,L,"TXT-001,TXT-002"
"Women's Long Sleeve Thermal Top",Faded Glory,700,30 x 22,250,FAD-W-THERM-S,AP003-W03-C02,9,140,8.00,FT008BATCHH,Fall/Winter,Waffle Knit,S,"TXT-002,TXT-003"
"Kids' Winter Jacket",Wonder Nation,400,50 x 40,800,WN-K-JACK-8,AP003-K03-C03,12,80,25.00,WJ009BATCHI,Winter,Polyester,8,"TXT-001,TXT-003"
"Men's Cargo Shorts",Athletic Works,700,30 x 25,400,ATH-M-SHORT-34,AP004-M04-D01,8,140,10.00,AS010BATCHJ,Spring/Summer,Cotton Twill,34,"TXT-001,TXT-002"
"Women's Denim Shorts",Faded Glory,900,28 x 22,350,FAD-W-SHORT-10,AP004-W04-D02,8,180,9.50,FS011BATCHK,Spring/Summer,Denim,10,"TXT-002,TXT-003"
"Girls' Casual Dress",Wonder Nation,800,30 x 25,250,WN-G-DRESS-6X,AP004-K04-D03,7,160,11.00,WD012BATCHL,Spring/Summer,Cotton Blend,6X,"TXT-001,TXT-003"
"Men's Polo Shirt",George,1000,28 x 22,220,GEO-M-POLO-XL,AP005-M05-E01,7,200,8.00,GP013BATCHM,Spring/Summer,Pique Knit,XL,"TXT-001,TXT-002"
"Women's Knit Cardigan",Faded Glory,600,30 x 25,350,FAD-W-CARD-L,AP005-W05-E02,9,120,11.00,FC014BATCHN,Fall/Winter,Acrylic Blend,L,"TXT-002,TXT-003"
"Boys' Jeans",Wonder Nation,900,30 x 22,550,WN-B-JEANS-10,AP002-K05-B04,9,180,13.00,WNJ015BATCHO,All-Season,Denim,10,"TXT-001,TXT-003"
"Twin Size Sheet Set",Mainstays,500,30 x 20,1200,MS-SHEET-TWN,HT001-B01-S01,8,100,10.00,MST016BATCHP,All-Season,Microfiber,Twin,"TXT-001,TXT-002"
"Queen Size Comforter",Mainstays,300,50 x 40,2500,MS-COMF-Q,HT001-B02-S02,10,60,25.00,MSQ017BATCHQ,All-Season,Polyester,Queen,"TXT-002,TXT-003"
"Bath Towel Set (2-pack)",Mainstays,700,30 x 25,800,MS-TOWEL-2PK,HT001-B03-S03,7,140,8.00,MST018BATCHR,All-Season,Cotton,N/A,"TXT-001,TXT-003"
"Kitchen Towel (6-pack)",Mainstays,1000,20 x 15,300,MS-KTOWL-6PK,HT001-K01-T01,6,200,5.00,MSK019BATCHS,All-Season,Cotton,N/A,"TXT-001,TXT-002"
"Men's Athletic Shorts",Athletic Works,900,30 x 20,250,ATH-M-ATHS-L,AP004-M06-D04,7,180,8.00,AA020BATCHT,Spring/Summer,Polyester,L,"TXT-002,TXT-003"
"Women's Yoga Leggings",Athletic Works,1100,28 x 20,280,ATH-W-YOGA-M,AP004-W06-D05,7,220,10.00,AWY021BATCHU,All-Season,Spandex Blend,M,"TXT-001,TXT-003"
"Boys' Athletic T-Shirt",Athletic Works,1300,25 x 20,150,ATH-B-ATHT-S,AP001-K06-A04,6,260,6.00,ABT022BATCHV,All-Season,Polyester,S,"TXT-001,TXT-002"
"Men's Knit Sweater",George,400,35 x 30,450,GEO-M-SWEAT-XL,AP005-M07-E03,10,80,18.00,GS023BATCHW,Fall/Winter,Acrylic,XL,"TXT-002,TXT-003"
"Women's Fleece Joggers",Faded Glory,500,30 x 25,400,FAD-W-JOGG-M,AP003-W07-C04,9,100,13.00,FJ024BATCHX,Fall/Winter,Fleece,M,"TXT-001,TXT-003"
"Girls' Leggings (2-pack)",Wonder Nation,1500,20 x 15,200,WN-G-LEGG-4T,AP002-K07-B05,7,300,6.00,WNL025BATCHY,All-Season,Cotton Blend,4T,"TXT-001,TXT-002"
"King Size Sheet Set",Mainstays,400,35 x 25,1800,MS-SHEET-KING,HT001-B04-S04,9,80,15.00,MSK026BATCHZ,All-Season,Microfiber,King,"TXT-002,TXT-003"
"Pillowcases (Standard, 2-pack)",Mainstays,800,20 x 15,250,MS-PILC-2PK,HT001-B05-S05,6,160,4.00,MSP027BATCHA1,All-Season,Cotton,N/A,"TXT-001,TXT-003"
"Throw Blanket",Mainstays,600,40 x 30,700,MS-THRW-BLK,HT001-D01-S06,8,120,10.00,MSB028BATCHB1,Fall/Winter,Fleece,N/A,"TXT-001,TXT-002"
"Area Rug (5x7 ft)",Mainstays,100,80 x 60,3000,MS-RUG-5X7,HT002-F01-R01,14,20,30.00,MSR029BATCHC1,All-Season,Polypropylene,N/A,"TXT-002,TXT-003"
"Men's Swim Trunks",George,500,25 x 20,150,GEO-M-SWIM-L,AP004-M08-D06,8,100,9.00,GSW030BATCHD1,Summer,Polyester,L,"TXT-001,TXT-003"
