"Item Name","Suppliers"
"Great Value Milk (1 Gallon, 2%)","FOD-001,FOD-002"
"Chobani Greek Yogurt (Plain, 32 oz)","FOD-002,FOD-003"
"Tyson Boneless Skinless Chicken Breasts (2.5 lbs)","FOD-001,FOD-003"
"Oscar Mayer Deli Fresh Turkey Breast (9 oz)","FOD-001,FOD-002"
"Kraft Macaroni & Cheese (7.25 oz Box)","FOD-002,FOD-003"
"Coca-Cola Soda (12-pack Cans)","FOD-001,FOD-003"
"Lay's Classic Potato Chips (Large Bag)","FOD-001,FOD-002"
"Skippy Creamy Peanut Butter (40 oz)","FOD-002,FOD-003"
"Kellogg's Frosted Flakes Cereal (23 oz)","FOD-001,FOD-003"
"Folgers Classic Roast Coffee (25.3 oz)","FOD-001,FOD-002"
"Great Value Large Eggs (1 Dozen)","FOD-002,FOD-003"
"Dole Shredded Lettuce (8 oz)","FOD-001,FOD-003"
"Fresh Strawberries (1 lb)","FOD-001,FOD-002"
"Bananas (by the pound)","FOD-002,FOD-003"
"Frito-Lay Variety Pack (20 ct)","FOD-001,FOD-003"
"Barilla Pasta (Spaghetti, 16 oz)","FOD-001,FOD-002"
"Progresso Chicken Noodle Soup (19 oz Can)","FOD-002,FOD-003"
"Hunt's Tomato Ketchup (20 oz)","FOD-001,FOD-003"
"Hellmann's Real Mayonnaise (30 oz)","FOD-001,FOD-002"
"Philadelphia Cream Cheese (8 oz)","FOD-002,FOD-003"
"Hot Pockets Pepperoni Pizza (5 ct)","FOD-001,FOD-003"
"DiGiorno Pepperoni Pizza (Large)","FOD-001,FOD-002"
"Stouffer's Macaroni & Cheese (Large)","FOD-002,FOD-003"
"Breyers Vanilla Ice Cream (48 oz)","FOD-001,FOD-003"
"Green Giant Cut Green Beans (14.5 oz Can)","FOD-001,FOD-002"
"Campbell's Condensed Tomato Soup (10.75 oz Can)","FOD-002,FOD-003"
"Great Value All-Purpose Flour (5 lb)","FOD-001,FOD-003"
"Domino Granulated Sugar (4 lb)","FOD-001,FOD-002"
"Crisco All-Vegetable Shortening (16 oz)","FOD-002,FOD-003"
"Nestle Toll House Chocolate Chips (12 oz)","FOD-001,FOD-003"
"Dunkin' Donuts K-Cup Coffee Pods (22 ct)","FOD-001,FOD-002"
"Arizona Green Tea with Ginseng (128 oz Jug)","FOD-002,FOD-003"
"Snapple Peach Tea (6-pack Bottles)","FOD-001,FOD-003"
"Gatorade Thirst Quencher (Lemon-Lime, 32 oz)","FOD-001,FOD-002"
"Capri Sun Juice Pouches (10 ct)","FOD-002,FOD-003"
"Oreo Cookies (Family Size)","FOD-001,FOD-003"
"Cheez-It Baked Snack Crackers (Large Box)","FOD-001,FOD-002"
"Pop-Tarts Frosted Strawberry (12 ct)","FOD-002,FOD-003"
"Quaker Old Fashioned Oats (42 oz)","FOD-001,FOD-003"
"Smucker's Strawberry Preserves (32 oz)","FOD-001,FOD-002"
"Heinz Sweet Relish (12.7 oz)","FOD-002,FOD-003"
"Vlasic Dill Pickle Spears (24 oz Jar)","FOD-001,FOD-003"
"Daisy Sour Cream (16 oz)","FOD-001,FOD-002"
"Sargento Shredded Mild Cheddar Cheese (8 oz)","FOD-002,FOD-003"
"Pillsbury Grands! Biscuits (8 ct)","FOD-001,FOD-003"
"Frozen Mixed Vegetables (12 oz Bag)","FOD-001,FOD-002"
"Frozen Pizza Rolls (50 ct)","FOD-002,FOD-003"
"Birds Eye Steamfresh Broccoli Florets (10.8 oz)","FOD-001,FOD-003"
"Marie Callender's Chicken Pot Pie (16 oz)","FOD-001,FOD-002"
"Ben & Jerry's Half Baked Ice Cream (16 oz)","FOD-002,FOD-003"
"Tide Pods Laundry Detergent (42 ct)","FOD-001,FOD-003"
"Dawn Dish Soap (28 oz)","FOD-001,FOD-002"
"Charmin Ultra Soft Toilet Paper (12 Mega Rolls)","FOD-002,FOD-003"
"Bounty Paper Towels (8 Family Rolls)","FOD-001,FOD-003"
"Clorox Disinfecting Wipes (3-pack)","FOD-001,FOD-002"
"Lysol Disinfectant Spray (19 oz)","FOD-002,FOD-003"
"Hefty Ultra Strong Kitchen Bags (100 ct, 13 gal)","FOD-001,FOD-003"
"Glad Tall Kitchen Bags (80 ct, 13 gal)","FOD-001,FOD-002"
"Scotch-Brite Heavy Duty Scour Pads (6-pack)","FOD-002,FOD-003"
"Softsoap Liquid Hand Soap (11.25 oz)","FOD-001,FOD-003"
"Colgate Optic White Toothpaste (4.2 oz)","FOD-001,FOD-002"
"Dove Bar Soap (Sensitive Skin, 6-pack)","FOD-002,FOD-003"
"Pantene Pro-V Daily Moisture Renewal Shampoo (20 oz)","FOD-001,FOD-003"
"Old Spice Swagger Deodorant (3 oz)","FOD-001,FOD-002"
"Gillette Mach3 Razor Refills (8 ct)","FOD-002,FOD-003"
"Oral-B CrossAction Toothbrush (2-pack)","FOD-001,FOD-003"
"Great Value White Bread","FOD-001,FOD-002"
"Pepperidge Farm Goldfish Crackers (30 oz)","FOD-002,FOD-003"
"Nabisco Ritz Crackers (13.7 oz)","FOD-001,FOD-003"
"Great Value Purified Water (24-pack Bottles)","FOD-001,FOD-002"
"Minute Maid Orange Juice (59 oz)","FOD-002,FOD-003"
"Simply Lemonade (52 oz)","FOD-001,FOD-003"
"Yoplait Original Yogurt (8 ct, Assorted)","FOD-001,FOD-002"
"International Delight Coffee Creamer (32 oz)","FOD-002,FOD-003"
"Pillsbury Refrigerated Cookie Dough (Chocolate Chip, 16 oz)","FOD-001,FOD-003"
"Hot Dogs (12 ct)","FOD-001,FOD-002"
"Ground Beef (80/20, 1 lb)","FOD-002,FOD-003"
"Frozen French Fries (32 oz Bag)","FOD-001,FOD-003"
"Frozen Pizza Bagels (20 ct)","FOD-001,FOD-002"
"Frozen Chicken Nuggets (25 oz Bag)","FOD-002,FOD-003"
"Tropicana Pure Premium Orange Juice (52 oz)","FOD-001,FOD-003"
"Starbucks Frappuccino Coffee Drink (4-pack)","FOD-001,FOD-002"
"Pringles Original Potato Crisps (Large Can)","FOD-002,FOD-003"
"Cheetos Crunchy Cheese Flavored Snacks (Large Bag)","FOD-001,FOD-003"
"Doritos Nacho Cheese Flavored Tortilla Chips (Large Bag)","FOD-001,FOD-002"
"Wonder Classic White Bread","FOD-002,FOD-003"
"Sara Lee Classic White Bread","FOD-001,FOD-003"
"Pepperidge Farm Farmhouse Hearty White Bread","FOD-001,FOD-002"
"Quaker Chewy Granola Bars (Variety Pack, 18 ct)","FOD-002,FOD-003"
"Fiber One Oats & Chocolate Chewy Bars (15 ct)","FOD-001,FOD-003"
"Nature Valley Crunchy Granola Bars (Oats 'n Honey, 12 ct)","FOD-001,FOD-002"
"Keebler Fudge Stripes Cookies (11.5 oz)","FOD-002,FOD-003"
"Entenmann's Little Bites Muffins (Chocolate Chip, 5 ct)","FOD-001,FOD-003"
"Betty Crocker Super Moist Cake Mix (Yellow)","FOD-001,FOD-002"
"Pillsbury Creamy Supreme Frosting (Vanilla)","FOD-002,FOD-003"
