"Item Name","Suppliers"
"Men's Basic Crewneck T-Shirt","TXT-001,TXT-002"
"Women's V-Neck T-Shirt","TXT-002,TXT-003"
"Kids' Graphic Tee","TXT-001,TXT-003"
"Men's Regular Fit Jeans","TXT-001,TXT-002"
"Women's Skinny Jeans","TXT-002,TXT-003"
"Toddler Boys' Pull-On Pants","TXT-001,TXT-003"
"Men's Fleece Hoodie","TXT-001,TXT-002"
"Women's Long Sleeve Thermal Top","TXT-002,TXT-003"
"Kids' Winter Jacket","TXT-001,TXT-003"
"Men's Cargo Shorts","TXT-001,TXT-002"
"Women's Denim Shorts","TXT-002,TXT-003"
"Girls' Casual Dress","TXT-001,TXT-003"
"Men's Polo Shirt","TXT-001,TXT-002"
"Women's Knit Cardigan","TXT-002,TXT-003"
"Boys' Jeans","TXT-001,TXT-003"
"Twin Size Sheet Set","TXT-001,TXT-002"
"Queen Size Comforter","TXT-002,TXT-003"
"Bath Towel Set (2-pack)","TXT-001,TXT-003"
"Kitchen Towel (6-pack)","TXT-001,TXT-002"
"Men's Athletic Shorts","TXT-002,TXT-003"
"Women's Yoga Leggings","TXT-001,TXT-003"
"Boys' Athletic T-Shirt","TXT-001,TXT-002"
"Men's Knit Sweater","TXT-002,TXT-003"
"Women's Fleece Joggers","TXT-001,TXT-003"
"Girls' Leggings (2-pack)","TXT-001,TXT-002"
"King Size Sheet Set","TXT-002,TXT-003"
"Pillowcases (Standard, 2-pack)","TXT-001,TXT-003"
"Throw Blanket","TXT-001,TXT-002"
"Area Rug (5x7 ft)","TXT-002,TXT-003"
"Men's Swim Trunks","TXT-001,TXT-003"
"Women's Tank Top","TXT-001,TXT-002"
"Boys' Board Shorts","TXT-002,TXT-003"
"Baby Bodysuit (3-pack)","TXT-001,TXT-003"
"Men's Dress Shirt","TXT-001,TXT-002"
"Women's Blouse","TXT-002,TXT-003"
"Girls' Skirt","TXT-001,TXT-003"
"Duvet Cover Set (Queen)","TXT-001,TXT-002"
"Hand Towel (4-pack)","TXT-002,TXT-003"
"Washcloth (12-pack)","TXT-001,TXT-003"
"Microfiber Cleaning Cloths (24-pack)","TXT-001,TXT-002"
"Men's Boxer Briefs (5-pack)","TXT-002,TXT-003"
"Women's Cotton Underwear (6-pack)","TXT-001,TXT-003"
"Kids' Socks (10-pack)","TXT-001,TXT-002"
"Men's Performance Socks (6-pack)","TXT-002,TXT-003"
"Women's No-Show Socks (6-pack)","TXT-001,TXT-003"
"Baby Sleepers (2-pack)","TXT-001,TXT-002"
"Men's Woven Pajama Pants","TXT-002,TXT-003"
"Women's Satin Pajama Set","TXT-001,TXT-003"
"Kids' Pajama Set (2-piece)","TXT-001,TXT-002"
"Window Curtains (2-panel set)","TXT-002,TXT-003"
"Shower Curtain","TXT-001,TXT-003"
"Kitchen Rug (20x30 inch)","TXT-001,TXT-002"
"Dinner Napkins (4-pack)","TXT-002,TXT-003"
"Tablecloth (Rectangular)","TXT-001,TXT-003"
"Men's V-Neck Undershirt (3-pack)","TXT-001,TXT-002"
"Women's Cami (4-pack)","TXT-002,TXT-003"
"Girls' Undershirts (3-pack)","TXT-001,TXT-003"
"Men's Slip-On Sneakers","TXT-001,TXT-002"
"Women's Ballet Flats","TXT-002,TXT-003"
"Toddler Girls' Sandals","TXT-001,TXT-003"
"Queen Size Air Mattress","TXT-001,TXT-002"
"Sleeping Bag (Adult)","TXT-002,TXT-003"
"Camping Tent (4-person)","TXT-001,TXT-003"
"Beach Towel","TXT-001,TXT-002"
"Men's Rain Jacket","TXT-002,TXT-003"
"Women's Lightweight Jacket","TXT-001,TXT-003"
"Kids' Rain Boots","TXT-001,TXT-002"
"Men's Work Boots","TXT-002,TXT-003"
"Women's Winter Boots","TXT-001,TXT-003"
"Kids' Snow Pants","TXT-001,TXT-002"
"Men's Thermal Underwear Top","TXT-002,TXT-003"
"Women's Thermal Underwear Bottom","TXT-001,TXT-003"
"Men's Dress Socks (3-pack)","TXT-001,TXT-002"
"Women's Tights (3-pack)","TXT-002,TXT-003"
"Kids' Winter Hat & Glove Set","TXT-001,TXT-003"
"Microfiber Pillow (Standard)","TXT-001,TXT-002"
"Memory Foam Pillow","TXT-002,TXT-003"
"Mattress Pad (Queen)","TXT-001,TXT-003"
"Shower Liner","TXT-001,TXT-002"
"Bath Mat","TXT-002,TXT-003"
"Men's Boxer Shorts (3-pack)","TXT-001,TXT-003"
"Women's Sports Bras (2-pack)","TXT-001,TXT-002"
"Girls' Tank Tops (5-pack)","TXT-002,TXT-003"
"Boys' Cargo Shorts","TXT-001,TXT-003"
"Men's Henley Shirt","TXT-001,TXT-002"
"Women's Tunic Top","TXT-002,TXT-003"
"Toddler Boys' Graphic Hoodie","TXT-001,TXT-003"
"Kids' Character Pajamas","TXT-001,TXT-002"
"Decorative Pillow","TXT-002,TXT-003"
"Throw Pillow Cover (Set of 2)","TXT-001,TXT-003"
"Storage Bins (Fabric, Large)","TXT-001,TXT-002"
"Laundry Basket (Pop-Up)","TXT-002,TXT-003"
"Hangers (Velvet, 50-pack)","TXT-001,TXT-003"
"Shoe Rack (3-Tier)","TXT-001,TXT-002"
"Fabric Dresser Organizer","TXT-002,TXT-003"
"Garment Bags (Clear, 3-pack)","TXT-001,TXT-003"
"Zippered Storage Bags (Large, 2-pack)","TXT-001,TXT-002"
"Underbed Storage Bin (Fabric)","TXT-002,TXT-003"
"Travel Pillow","TXT-001,TXT-003"
"Chair Pad (Cushion)","TXT-001,TXT-002"
