Item Name,Company,Quantity,Cargo Size (cm x cm),Weight (g),SKU,Location (WH-Aisle-Bin),Lead Time (Days),Reorder Point (Units),Unit Cost ($),Suppliers,Lot/Batch Number,Expiry Date,Storage Conditions
"Tylenol Extra Strength Caplets (100 ct)",Johnson & Johnson,800,15 x 10,120,TYL-ES-CAP-100,PH001-A01-B01,7,160,5.5,"PRM-001,PRM-002",TYL250601ABC,2027-10-15,Room Temp
"Advil Tablets (100 ct)",Pfizer,750,15 x 10,110,ADV-TAB-100,PH001-A01-B02,7,150,5.2,"PRM-002,PRM-003",ADV250602DEF,2027-11-20,Room Temp
"Allegra 24 Hour Allergy (60 ct)",Sanofi,300,12 x 8,80,ALL-24H-TAB-60,PH001-A02-B03,10,60,18.0,"PRM-001,PRM-003",ALG250603GHI,2027-09-01,Room Temp
"Zyrtec 24 Hour Allergy (70 ct)",Johnson & Johnson,320,12 x 8,85,ZYR-24H-TAB-70,PH001-A02-B04,10,65,19.5,"PRM-001,PRM-002",ZYR250604JKL,2027-10-05,Room Temp
"CVS Health Ibuprofen (200 mg - 100 ct)",CVS Health (Equate Equivalent),900,15 x 10,115,CVSH-IBU-100,PH001-A01-B03,6,180,3.0,"PRM-002,PRM-003",CVI250605MNO,2027-12-01,Room Temp
"Flonase Allergy Relief (120 sprays)",GSK,250,18 x 12,150,FLN-AR-SPRY-120,PH001-A02-B05,12,50,15.0,"PRM-001,PRM-003",FLN250606PQR,2027-08-10,Room Temp
"Robitussin DM Max (8 oz)",GSK,400,18 x 10,300,ROB-DM-MAX-8OZ,PH001-A03-B06,8,80,6.5,"PRM-001,PRM-002",RDM250607STU,2027-07-25,Room Temp
"NyQuil Cold & Flu Liquid (12 oz)",Procter & Gamble,350,20 x 10,400,NYQ-CF-LIQ-12OZ,PH001-A03-B07,8,70,8.0,"PRM-002,PRM-003",NQC250608VWX,2027-09-15,Room Temp
"Vicks VapoRub (3.53 oz)",Procter & Gamble,600,10 x 8,150,VICKS-VR-3.53OZ,PH001-A04-B08,6,120,4.0,"PRM-001,PRM-003",VVR250609YZA,2028-01-01,Room Temp
"Bayer Aspirin (325 mg, 100 ct)",Bayer,700,15 x 10,125,BAY-ASP-100,PH001-A01-B04,7,140,4.8,"PRM-001,PRM-002",BAY250610BCD,2027-11-10,Room Temp
"One A Day Men's Health Formula (200 ct)",Bayer,280,15 x 10,250,OAD-MEN-200,PH001-A05-B09,9,55,12.0,"PRM-002,PRM-003",OAD250611EFG,2027-12-20,Room Temp
"Nature Made Vitamin D3 (1000 IU - 200 softgels)",Nature Made,500,12 x 8,100,NM-VITD3-200,PH001-A05-B10,8,100,8.5,"PRM-001,PRM-003",NMD250612HIJ,2028-02-15,Room Temp
"Centrum Adults Multivitamin (200 ct)",Pfizer,290,15 x 10,260,CEN-ADL-200,PH001-A05-B11,9,58,11.5,"PRM-001,PRM-002",CNA250613KLM,2027-11-01,Room Temp
"Meta-mucil Fiber Supplement (Powder, 48.2 oz)",Procter & Gamble,150,25 x 15,1500,MET-FIB-POW-48OZ,PH001-A06-B12,10,30,15.0,"PRM-002,PRM-003",MTF250614NOP,2027-09-20,Room Temp
"Prilosec OTC (42 ct)",Procter & Gamble,200,12 x 8,90,PRI-OTC-42,PH001-A07-B13,11,40,22.0,"PRM-001,PRM-003",PRO250615QRS,2027-10-25,Room Temp
"Pepto-Bismol Liquid (12 oz)",Procter & Gamble,450,20 x 10,400,PEP-BIS-LIQ-12OZ,PH001-A04-B14,8,90,5.8,"PRM-001,PRM-002",PBL250616TUV,2027-08-01,Room Temp
"Neosporin Original Ointment (1 oz)",Johnson & Johnson,500,10 x 5,50,NEO-ORN-1OZ,PH001-A08-B15,7,100,6.0,"PRM-002,PRM-003",NEO250617WXY,2027-11-05,Room Temp
