Date,Time,Store_ID,Transaction_ID,Customer_ID,Customer_Type,Category,Product_Name,Quantity,Unit_Cost,Unit_Price,Discount_Rate,Discount_Amount,Subtotal,Tax_Amount,Total_Amount,Gross_Profit,Profit_Margin_Percent,Payment_Method,Day_of_Week,Month,Hour_of_Day,Transaction_Total,Items_Per_Transaction
2024-01-01,09:27:00,Store_C,Store_C_T000031,CUST_0421,Returning,Food,Whole Wheat Bread,1,1.5,3.93,0,0,3.93,0.31,4.24,2.43,61.8,Credit Card,Monday,January,9,4.24,1
2024-01-01,09:48:00,Store_C,Store_C_T000022,CUST_0264,Returning,Electronics,Smart Watch,1,80,202.04,7.9,15.93,186.11,14.89,201,106.11,57,Credit Card,Monday,January,9,237.62,2
2024-01-01,09:48:00,Store_C,Store_C_T000022,CUST_0264,Returning,Textiles,Dress Shirt,1,10,33.91,0,0,33.91,2.71,36.62,23.91,70.5,Credit Card,Monday,January,9,237.62,2
2024-01-01,10:11:00,Store_C,Store_C_T000018,CUST_0002,Returning,Food,Pasta Pack,1,1,3,0,0,3,0.24,3.24,2,66.7,Credit Card,Monday,January,10,29.86,2
2024-01-01,10:11:00,Store_C,Store_C_T000018,CUST_0002,Returning,Electronics,USB Flash Drive,1,8,24.65,0,0,24.65,1.97,26.62,16.65,67.5,Credit Card,Monday,January,10,29.86,2
2024-01-01,10:17:00,Store_C,Store_C_T000016,CUST_0097,Returning,Pharmaceuticals,First Aid Kit,1,8,25.51,0,0,25.51,2.04,27.56,17.51,68.6,Gift Card,Monday,January,10,27.56,1
2024-01-01,10:19:00,Store_C,Store_C_T000010,CUST_6444,New,Textiles,Women's Blouse,1,8,25.24,11.2,2.84,22.4,1.79,24.19,14.4,64.3,Debit Card,Monday,January,10,24.19,1
2024-01-01,10:19:00,Store_C,Store_C_T000026,CUST_0316,Returning,Textiles,Cotton Bedsheet Set,1,15,48.14,0,0,48.14,3.85,51.99,33.14,68.8,Cash,Monday,January,10,51.99,1
2024-01-01,10:26:00,Store_C,Store_C_T000038,CUST_0187,Returning,Electronics,Power Bank,1,20,51.49,0,0,51.49,4.12,55.61,31.49,61.2,Mobile Payment,Monday,January,10,55.61,1
2024-01-01,10:35:00,Store_C,Store_C_T000021,CUST_0146,Returning,Textiles,Winter Jacket,1,25,78.65,0,0,78.65,6.29,84.94,53.65,68.2,Mobile Payment,Monday,January,10,84.94,1
