"Item Name","Suppliers"
"Roku Express HD Streaming Media Player","ELC-001,ELC-002"
"Apple AirPods (2nd Gen) with Charging Case","ELC-002,ELC-003"
"Onn. 24" 720p HD LED TV","ELC-001,ELC-003"
"HP 15.6" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)","ELC-001,ELC-002"
"Xbox Series S Console","ELC-002,ELC-003"
"Sony WH-CH520 Wireless On-Ear Headphones","ELC-001,ELC-003"
"Energizer Max AA Batteries (8-pack)","ELC-001,ELC-002"
"Google Nest Mini (2nd Gen) Smart Speaker","ELC-002,ELC-003"
"SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive","ELC-001,ELC-003"
"Belkin BoostCharge 10W Wireless Charger Pad","ELC-001,ELC-002"
"Samsung Galaxy Tab A8 10.5" Tablet (32GB)","ELC-002,ELC-003"
"JBL Flip 6 Portable Bluetooth Speaker","ELC-001,ELC-003"
"Nintendo Switch OLED Model Console","ELC-001,ELC-002"
"TP-Link Archer AX1500 Wi-Fi 6 Router","ELC-002,ELC-003"
"Canon Pixma MG2522 All-in-One Printer","ELC-001,ELC-003"
"Duracell CopperTop AA Batteries (20-pack)","ELC-001,ELC-002"
"Amazon Echo Dot (5th Gen) Smart Speaker","ELC-002,ELC-003"
"Logitech M310 Wireless Mouse","ELC-001,ELC-003"
"HP 27fw Full HD IPS Monitor","ELC-001,ELC-002"
"Google Chromecast with Google TV (4K)","ELC-002,ELC-003"
"Roku Streaming Stick 4K","ELC-001,ELC-003"
"Acer Chromebook 315 (Intel Celeron, 4GB RAM)","ELC-001,ELC-002"
"WD Elements 1TB Portable External Hard Drive","ELC-002,ELC-003"
"Apple EarPods with Lightning Connector","ELC-001,ELC-003"
"onn. 50" 4K UHD Smart TV","ELC-001,ELC-002"
"Sony PlayStation 5 DualSense Wireless Controller","ELC-002,ELC-003"
"Xbox Series X Wireless Controller","ELC-001,ELC-003"
"Razer Kishi V2 Mobile Gaming Controller","ELC-001,ELC-002"
"Blink Mini Indoor Plug-in Smart Security Camera","ELC-002,ELC-003"
"Ring Video Doorbell Wired","ELC-001,ELC-003"
"TP-Link Kasa Smart Plug Mini (2-pack)","ELC-001,ELC-002"
"GE Cync Smart Light Bulb (Color, A19)","ELC-002,ELC-003"
"Energizer Max AAA Batteries (8-pack)","ELC-001,ELC-003"
