Order Date,Category,Item Name,Supplier,Quantity,Unit Cost,Total Cost
2023-01-02,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-001,11,63.67,700.36
2023-01-02,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,15,20.15,302.29
2023-01-02,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,7,252.16,1765.12
2023-01-02,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,6,7.63,45.76
2023-01-02,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,19,36.38,691.19
2023-01-02,Food,Coca-Cola Soda (12-pack Cans),FOD-001,35,5.38,188.23
2023-01-02,Food,Great Value Large Eggs (1 Dozen),FOD-003,30,2.33,69.88
2023-01-02,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,21,3.29,69.08
2023-01-02,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-001,37,4.27,157.91
2023-01-02,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,36,8.78,316.16
2023-01-02,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,10,4.26,42.6
2023-01-02,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,16,2.89,46.28
2023-01-02,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-001,15,16.42,246.25
2023-01-02,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-002,11,6.56,72.2
2023-01-02,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,18,7.4,133.2
2023-01-02,Textiles,Kids' Graphic Tee,TXT-001,31,2.95,91.39
2023-01-02,Textiles,Men's Athletic Shorts,TXT-002,20,7.42,148.37
2023-01-02,Textiles,Men's Regular Fit Jeans,TXT-001,23,13.74,315.97
2023-01-02,Textiles,Queen Size Comforter,TXT-003,28,23.44,656.32
2023-01-02,Textiles,Twin Size Sheet Set,TXT-002,24,10.3,247.13
2023-01-09,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,30,16.42,492.49
2023-01-09,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-001,14,4.79,67.04
2023-01-09,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-001,15,3,45
2023-01-09,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,30,7.45,223.39
2023-01-09,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,27,5.82,157.07
2023-01-09,Textiles,Men's Basic Crewneck T-Shirt,TXT-002,33,3.23,106.71
2023-01-09,Textiles,Men's Fleece Hoodie,TXT-002,25,10.84,270.9
2023-01-09,Textiles,Men's Regular Fit Jeans,TXT-001,18,14.21,255.74
2023-01-09,Textiles,Twin Size Sheet Set,TXT-001,15,10.94,164.07
2023-01-16,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-002,14,76.2,1066.76
2023-01-16,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,20,23.17,463.38
2023-01-16,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,8,7.35,58.83
2023-01-16,Food,Bananas (by the pound),FOD-002,23,0.68,15.63
2023-01-16,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,26,1.15,29.95
2023-01-16,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,30,18.02,540.64
2023-01-16,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,27,14.6,394.24
2023-01-16,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-002,24,5.75,138.12
2023-01-16,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,10,5.63,56.32
2023-01-16,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,23,3.78,86.92
2023-01-16,Textiles,Men's Fleece Hoodie,TXT-002,21,12.16,255.36
2023-01-16,Textiles,Twin Size Sheet Set,TXT-002,29,10.12,293.42
2023-01-23,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,8,73.74,589.88
2023-01-23,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,17,22.02,374.35
2023-01-23,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,15,90.86,1362.94
2023-01-23,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-002,19,141.27,2684.16
2023-01-23,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,18,8.52,153.39
2023-01-23,Food,Bananas (by the pound),FOD-003,37,0.81,30.12
2023-01-23,Food,Coca-Cola Soda (12-pack Cans),FOD-003,32,4.95,158.41
2023-01-23,Food,Fresh Strawberries (1 lb),FOD-002,31,3.28,101.59
2023-01-23,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,16,4.88,78.09
2023-01-23,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,12,4.9,58.8
2023-01-23,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-001,28,4.92,137.77
2023-01-23,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,13,5.75,74.72
2023-01-23,Textiles,Bath Towel Set (2-pack),TXT-001,21,8.25,173.23
2023-01-23,Textiles,Kids' Graphic Tee,TXT-003,26,2.96,77.08
2023-01-23,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,26,3.54,92.06
2023-01-23,Textiles,Queen Size Comforter,TXT-002,34,26.09,887.03
2023-01-23,Textiles,Women's Skinny Jeans,TXT-002,29,15.37,445.82
2023-01-30,Food,Bananas (by the pound),FOD-002,38,0.73,27.82
2023-01-30,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,30,3.39,101.81
2023-01-30,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-002,12,3.13,37.61
2023-01-30,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-001,18,15.93,286.8
2023-01-30,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-002,28,7.84,219.51
2023-01-30,Textiles,Kids' Graphic Tee,TXT-003,32,2.81,89.8
2023-01-30,Textiles,Men's Athletic Shorts,TXT-002,24,8.78,210.6
2023-01-30,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,25,3.17,79.13
2023-01-30,Textiles,Queen Size Comforter,TXT-002,18,22.69,408.4
2023-02-06,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,7,236.1,1652.73
2023-02-06,Electronics,Roku Express HD Streaming Media Player,ELC-002,17,18.58,315.91
2023-02-06,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,7,7.96,55.73
2023-02-06,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,11,2.88,31.71
2023-02-06,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,20,5.54,110.88
2023-02-13,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,16,76.6,1225.65
2023-02-13,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,16,8.15,130.4
2023-02-13,Food,Great Value Large Eggs (1 Dozen),FOD-002,22,2.31,50.74
2023-02-13,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,34,1.14,38.63
2023-02-13,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,27,3.81,102.98
2023-02-13,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,26,4.67,121.34
2023-02-13,Textiles,Bath Towel Set (2-pack),TXT-001,32,8.19,261.94
2023-02-13,Textiles,Queen Size Comforter,TXT-002,22,22.86,502.88
2023-02-13,Textiles,Twin Size Sheet Set,TXT-001,30,9.79,293.72
2023-02-13,Textiles,Women's V-Neck T-Shirt,TXT-002,19,3.19,60.57
2023-02-20,Food,Great Value Large Eggs (1 Dozen),FOD-002,26,2.52,65.6
2023-02-20,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,20,3.38,67.65
2023-02-27,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-002,15,78.76,1181.36
