Store_ID,Category,Product_Name,Quantity_in_Stock,Unit_Cost,Total_Inventory_Value,Reorder_Point,Max_Stock_Level,Stock_Status,Last_Updated,Location
Store_B,Electronics,Phone Charger,15,5,75,5,25,Normal,2025-07-02,Store_B_Warehouse
Store_B,Electronics,Portable Speaker,28,35,980,7,50,Normal,2025-07-02,Store_B_Warehouse
Store_B,Electronics,Power Bank,28,20,560,7,50,Normal,2025-07-02,Store_B_Warehouse
Store_B,Electronics,Tablet Case,39,10,390,9,60,Normal,2025-07-02,Store_B_Warehouse
Store_B,Electronics,USB Flash Drive,27,8,216,6,52,Normal,2025-07-02,Store_B_Warehouse
Store_B,Electronics,Wireless Mouse,17,15,255,5,33,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Breakfast Cereal,41,2.5,102.5,10,54,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Chicken Breast (1kg),28,6,168,7,38,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Fresh Apples (1kg),23,2.5,57.5,5,37,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Greek Yogurt,41,1.8,73.8,10,70,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Olive Oil (500ml),30,4,120,7,47,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Organic Milk (1L),14,2,28,5,31,Normal,2025-07-02,Store_B_Warehouse
Store_B,Food,Pasta Pack,31,1,31,7,41,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Allergy Medicine,30,6,180,7,40,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Bandages Pack,16,2,32,5,34,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Cough Syrup,33,3,99,8,47,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,First Aid Kit,39,8,312,9,55,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Hand Sanitizer,11,1.5,16.5,5,38,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Thermometer,24,12,288,6,45,Normal,2025-07-02,Store_B_Warehouse
Store_B,Pharmaceuticals,Vitamin C Supplements,38,5,190,9,68,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Athletic Shorts,36,6,216,9,52,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Bath Towel,20,4,80,5,39,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Cotton Bedsheet Set,26,15,390,6,45,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Dress Shirt,43,10,430,10,70,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Kids' Jeans,44,12,528,11,59,Normal,2025-07-02,Store_B_Warehouse
Store_B,Textiles,Men's Basic T-Shirt,13,3.5,45.5,5,27,Normal,2025-07-02,Store_B_Warehouse
