Date,Time,Store_ID,Transaction_ID,Customer_ID,Customer_Type,Category,Product_Name,Quantity,Unit_Cost,Unit_Price,Discount_Rate,Discount_Amount,Subtotal,Tax_Amount,Total_Amount,Gross_Profit,Profit_Margin_Percent,Payment_Method,Day_of_Week,Month,Hour_of_Day,Transaction_Total,Items_Per_Transaction
2024-01-01,08:14:00,Store_B,Store_B_T000035,CUST_0071,Returning,Food,Whole Wheat Bread,1,1.5,3.83,7.8,0.3,3.54,0.28,3.82,2.04,57.6,Cash,Monday,January,8,6.96,2
2024-01-01,08:14:00,Store_B,Store_B_T000035,CUST_0071,Returning,Food,Pasta Pack,1,1,2.91,0,0,2.91,0.23,3.14,1.91,65.6,Cash,Monday,January,8,6.96,2
2024-01-01,08:19:00,Store_B,Store_B_T000007,CUST_5390,New,Pharmaceuticals,Cough Syrup,1,3,12.69,0,0,12.69,1.02,13.7,9.69,76.4,Credit Card,Monday,January,8,13.7,1
2024-01-01,08:24:00,Store_B,Store_B_T000028,CUST_0151,Returning,Pharmaceuticals,Hand Sanitizer,1,1.5,4.85,15.8,0.77,4.08,0.33,4.41,2.58,63.2,Credit Card,Monday,January,8,30.5,2
2024-01-01,08:24:00,Store_B,Store_B_T000028,CUST_0151,Returning,Pharmaceuticals,First Aid Kit,1,8,24.16,0,0,24.16,1.93,26.09,16.16,66.9,Credit Card,Monday,January,8,30.5,2
2024-01-01,08:35:00,Store_B,Store_B_T000031,CUST_5787,New,Textiles,Bath Towel,1,4,14.25,0,0,14.25,1.14,15.39,10.25,71.9,Debit Card,Monday,January,8,15.39,1
2024-01-01,08:36:00,Store_B,Store_B_T000021,CUST_0184,Returning,Pharmaceuticals,Thermometer,1,12,30.37,0,0,30.37,2.43,32.8,18.37,60.5,Cash,Monday,January,8,32.8,1
2024-01-01,08:56:00,Store_B,Store_B_T000010,CUST_8181,New,Electronics,USB Flash Drive,2,8,24.59,19,9.35,39.82,3.19,43.01,23.82,59.8,Credit Card,Monday,January,8,43.01,1
2024-01-01,09:55:00,Store_B,Store_B_T000006,CUST_0423,Returning,Electronics,Tablet Case,1,10,28.99,0,0,28.99,2.32,31.31,18.99,65.5,Debit Card,Monday,January,9,73.26,2
2024-01-01,09:55:00,Store_B,Store_B_T000006,CUST_0423,Returning,Textiles,Men's Basic T-Shirt,3,3.5,12.95,0,0,38.85,3.11,41.95,28.35,73,Debit Card,Monday,January,9,73.26,2
2024-01-01,10:26:00,Store_B,Store_B_T000034,CUST_7421,New,Textiles,Dress Shirt,3,10,36.42,0,0,109.27,8.74,118.01,79.27,72.5,Credit Card,Monday,January,10,166.68,3
2024-01-01,10:26:00,Store_B,Store_B_T000034,CUST_7421,New,Food,Whole Wheat Bread,1,1.5,3.98,0,0,3.98,0.32,4.3,2.48,62.3,Credit Card,Monday,January,10,166.68,3
2024-01-01,10:26:00,Store_B,Store_B_T000034,CUST_7421,New,Electronics,Wireless Mouse,1,15,41.09,0,0,41.09,3.29,44.37,26.09,63.5,Credit Card,Monday,January,10,166.68,3
2024-01-01,11:02:00,Store_B,Store_B_T000020,CUST_0495,Returning,Food,Olive Oil (500ml),2,4,9.53,0,0,19.05,1.52,20.58,11.05,58,Debit Card,Monday,January,11,72.57,2
2024-01-01,11:02:00,Store_B,Store_B_T000020,CUST_0495,Returning,Electronics,Power Bank,1,20,48.14,0,0,48.14,3.85,51.99,28.14,58.5,Debit Card,Monday,January,11,72.57,2
2024-01-01,11:11:00,Store_B,Store_B_T000032,CUST_8492,New,Pharmaceuticals,Pain Relief Tablets,1,2.5,9.14,0,0,9.14,0.73,9.87,6.64,72.6,Credit Card,Monday,January,11,25.26,2
2024-01-01,11:11:00,Store_B,Store_B_T000032,CUST_8492,New,Textiles,Bath Towel,1,4,14.25,0,0,14.25,1.14,15.39,10.25,71.9,Credit Card,Monday,January,11,25.26,2
2024-01-01,11:12:00,Store_B,Store_B_T000018,CUST_0278,Returning,Food,Whole Wheat Bread,1,1.5,4.06,11.7,0.47,3.59,0.29,3.88,2.09,58.2,Debit Card,Monday,January,11,3.88,1
2024-01-01,11:16:00,Store_B,Store_B_T000042,CUST_0362,Returning,Electronics,Bluetooth Headphones,1,25,82.28,0,0,82.28,6.58,88.86,57.28,69.6,Mobile Payment,Monday,January,11,88.86,1
