Order Date,Category,Item Name,Supplier,Quantity,Unit Cost,Total Cost
2023-01-02,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,9,5.4,48.58
2023-01-02,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,6,22.89,137.35
2023-01-02,Electronics,Roku Express HD Streaming Media Player,ELC-001,9,21,188.97
2023-01-02,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-001,12,37.15,445.83
2023-01-02,Food,Great Value Large Eggs (1 Dozen),FOD-003,18,2.69,48.47
2023-01-02,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,23,3.77,86.69
2023-01-02,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-001,25,4.13,103.28
2023-01-02,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,21,3.85,80.75
2023-01-02,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,30,8.99,269.55
2023-01-02,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-002,26,3.04,79.01
2023-01-02,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-001,9,13.64,122.8
2023-01-02,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,31,3.16,97.89
2023-01-02,Textiles,Men's Regular Fit Jeans,TXT-001,31,15.84,490.93
2023-01-02,Textiles,Twin Size Sheet Set,TXT-001,18,10.1,181.86
2023-01-02,Textiles,Women's Skinny Jeans,TXT-003,12,13.74,164.94
2023-01-02,Textiles,Women's V-Neck T-Shirt,TXT-002,29,2.95,85.5
2023-01-09,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,8,86.68,693.45
2023-01-09,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,16,268.83,4301.33
2023-01-09,Food,Great Value Large Eggs (1 Dozen),FOD-002,30,2.43,73
2023-01-09,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,27,3.21,86.63
2023-01-09,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,25,8.33,208.29
2023-01-09,Pharmaceuticals,Advil Tablets (100 ct),PRM-002,23,4.78,109.89
2023-01-09,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,11,3.18,35.01
2023-01-09,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-001,17,3.03,51.48
2023-01-09,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-001,10,14.34,143.4
2023-01-09,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,13,6.52,84.77
2023-01-16,Food,Fresh Strawberries (1 lb),FOD-001,17,2.83,48.06
2023-01-16,Food,Great Value Large Eggs (1 Dozen),FOD-003,17,2.72,46.21
2023-01-16,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,29,3.83,111.21
2023-01-16,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,26,3.55,92.24
2023-01-16,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,31,7.9,244.82
2023-01-16,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,10,5.01,50.1
2023-01-16,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,21,16.92,355.28
2023-01-16,Textiles,Bath Towel Set (2-pack),TXT-001,14,7.56,105.8
2023-01-16,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,24,3.26,78.26
2023-01-16,Textiles,Men's Fleece Hoodie,TXT-001,14,11.64,162.92
2023-01-16,Textiles,Women's Skinny Jeans,TXT-002,16,15.52,248.38
2023-01-16,Textiles,Women's V-Neck T-Shirt,TXT-003,29,3.46,100.23
2023-01-23,Food,Bananas (by the pound),FOD-003,26,0.69,17.99
2023-01-23,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,24,3.51,84.35
