Item Name,Company,Quantity,Cargo Size (cm x cm),Weight (g)
George Men's Short Sleeve Crewneck T-Shirt (White, Large),George,1500,25 x 20,180
Hanes Women's Cotton Blend T-Shirt (Black, Medium),Hanes,1800,25 x 20,160
Fruit of the Loom Men's Tag-Free Boxer Briefs (5-pack),Fruit of the Loom,1200,20 x 15,300
Hanes Women's Crew Socks (6-pair pack),Hanes,2000,15 x 10,150
George Boys' School Uniform Polo Shirt (Navy, Youth M),George,800,28 x 22,250
Wonder Nation Girls' Leggings (Black, Youth S),Wonder Nation,900,20 x 15,180
Mainstays Basic Bath Towel (White),Mainstays,2500,30 x 25,450
Mainstays Hand Towel (Gray),Mainstays,3000,25 x 20,150
Mainstays Washcloth (Blue, 6-pack),Mainstays,1800,20 x 15,200
Mainstays Microfiber Sheet Set (Queen, White),Mainstays,700,35 x 30,1500
Mainstays All-Season Comforter (Full/Queen),Mainstays,400,50 x 40,2500
Better Homes & Gardens Velvet Plush Throw (Grey),Better Homes & Gardens,600,30 x 25,800
Serta Stay Cool Gel Memory Foam Pillow,Serta,350,60 x 40,1200
Mainstays Standard Pillowcases (2-pack),Mainstays,900,20 x 15,180
Mainstays Kitchen Towels (4-pack, Assorted),Mainstays,1500,25 x 20,300
George Men's Fleece Pullover Hoodie (Gray, XL),George,700,30 x 25,600
Hanes Women's Cotton Underwear (6-pack, Assorted),Hanes,1100,20 x 15,250
No Boundaries Juniors' Ribbed Crop Top (Assorted),No Boundaries,1000,20 x 15,120
Gildan Adult Ultra Cotton T-Shirt (Black, S),Gildan,1300,25 x 20,180
Russell Athletic Men's Mesh Shorts (Black, L),Russell Athletic,750,25 x 20,300
Avia Women's Active Leggings (Navy, M),Avia,600,28 x 20,350
George Men's Regular Fit Jeans (Blue Denim, Size 34x32),George,500,35 x 25,800
Mainstays Bath Rug (20x30, White),Mainstays,800,40 x 25,500
Mainstays Shower Curtain (Fabric, White),Mainstays,700,30 x 25,400
Ozark Trail Microfiber Camping Towel,Ozark Trail,400,20 x 15,100
Sofia Jeans by Sofia Vergara Women's Jeans (Size 10),Sofia Jeans,300,35 x 25,750
Wonder Nation Kids' No Show Socks (10-pack),Wonder Nation,1100,15 x 10,200
Mainstays Kids' Microfiber Sheet Set (Twin, Blue),Mainstays,600,30 x 25,1000
Mainstays Reversible Comforter (Twin),Mainstays,350,45 x 35,2000
Athletic Works Men's Active T-Shirt (Various Colors, L),Athletic Works,1200,25 x 20,180
JoySpun Women's Sleep Shirt (Assorted, S),JoySpun,500,28 x 22,300
George Men's Dress Socks (3-pair pack),George,900,15 x 10,120
Time and Tru Women's Long Sleeve Crewneck Tee (Assorted, XL),Time and Tru,800,25 x 20,180
Mainstays Window Curtains (Panel, 84" L),Mainstays,400,30 x 20,700
Mainstays Valance (Kitchen),Mainstays,300,25 x 15,150
George Baby Bodysuits (5-pack, Newborn),George,500,20 x 15,250
Parent's Choice Crib Sheet (Cotton, Fitted),Parent's Choice,600,25 x 20,300
Gerber Baby Burp Cloths (5-pack),Gerber,700,20 x 15,180
Avia Women's Active Shorts (Black, S),Avia,550,20 x 15,200
Russell Athletic Men's Dri-Power Fleece Pants,Russell Athletic,450,30 x 25,700
Wonder Nation Kids' Jeans (Straight Fit, Size 8),Wonder Nation,400,30 x 20,600
Mainstays Bath Towel (Assorted Colors, 2-pack),Mainstays,1000,30 x 25,900
Mainstays Memory Foam Bath Mat,Mainstays,500,45 x 30,700
Chefmate Oven Mitt and Pot Holder Set,Chefmate,300,25 x 20,200
Mainstays Placemat (Set of 4),Mainstays,400,30 x 25,250
Mainstays Tablecloth (Rectangular, 52x70),Mainstays,250,35 x 28,400
Faded Glory Men's Flannel Shirt,Faded Glory,400,30 x 25,500
No Boundaries Juniors' Leggings (Patterned),No Boundaries,700,20 x 15,200
George Women's Sleepwear Set (Pants & Top),George,350,30 x 25,450
Hanes Men's X-Temp Performance Boxer Briefs (3-pack),Hanes,800,20 x 15,250
Fruit of the Loom Women's Breathable Underwear (4-pack),Fruit of the Loom,900,18 x 12,200
Mainstays Faux Fur Throw Blanket (Tan),Mainstays,300,30 x 25,900
Better Homes & Gardens Cotton Blanket (Queen),Better Homes & Gardens,200,40 x 30,2000
Mainstays Decorative Pillow (Square),Mainstays,500,40 x 40,600
Mainstays Quilted Mattress Pad (King),Mainstays,250,45 x 35,1800
Mainstays Duvet Cover Set (Full/Queen),Mainstays,200,40 x 30,1500
George Men's Polo Shirt (Assorted Colors),George,1000,25 x 20,200
Russell Athletic Women's Fleece Sweatpants,Russell Athletic,400,30 x 25,500
Time and Tru Women's Denim Jacket,Time and Tru,200,40 x 30,800
George Men's Cargo Shorts,George,300,30 x 25,400
Wonder Nation Kids' Hooded Sweatshirt,Wonder Nation,600,28 x 22,350
Mainstays Value Pack Washcloths (12-pack),Mainstays,1500,25 x 20,400
Mainstays Striped Beach Towel,Mainstays,800,40 x 30,500
Mainstays Terry Kitchen Towels (3-pack),Mainstays,1200,25 x 20,250
George Men's Crewneck Sweatshirt,George,600,30 x 25,550
Hanes Women's Ankle Socks (6-pair pack),Hanes,1800,15 x 10,120
No Boundaries Juniors' Lounge Shorts,No Boundaries,700,20 x 15,150
Mainstays Solid Color Comforter (Twin XL),Mainstays,300,45 x 35,2200
Mainstays Plush Blanket (Twin),Mainstays,450,30 x 25,1000
Mainstays Bath Towel (Oversized),Mainstays,800,35 x 30,600
Mainstays Decorative Kitchen Mat,Mainstays,300,50 x 30,700
George Men's Performance T-Shirt,George,1100,25 x 20,150
Avia Women's Athletic Shorts,Avia,600,20 x 15,180
Fruit of the Loom Men's Waffle Thermal Top,Fruit of the Loom,400,30 x 25,400
Hanes Women's X-Temp Cotton Leggings,Hanes,500,28 x 20,280
Wonder Nation Kids' Pull-On Pants,Wonder Nation,700,25 x 20,300
Mainstays Kids' Character Blanket,Mainstays,550,30 x 25,700
Mainstays Decorative Throw Pillow,Mainstays,600,40 x 40,500
George Men's White Undershirts (3-pack),George,900,20 x 15,280
Hanes Women's White Cotton T-Shirt (V-Neck),Hanes,1000,25 x 20,160
Fruit of the Loom Kids' Crew Socks (6-pack),Fruit of the Loom,1500,15 x 10,120
Mainstays Microfiber Pillowcases (Standard, 2-pack),Mainstays,800,20 x 15,150
Mainstays Reversible Duvet Cover (King),Mainstays,180,45 x 35,2000
George Men's Cargo Pants,George,250,35 x 25,700
Time and Tru Women's Basic Tank Top,Time and Tru,900,20 x 15,100
Russell Athletic Men's Tapered Sweatpants,Russell Athletic,350,30 x 25,600
Mainstays Kids' Hooded Bath Towel,Mainstays,400,30 x 25,450
Mainstays Bath Accessory Set (Fabric),Mainstays,200,25 x 20,300
George Women's Pajama Pants,George,450,28 x 20,300
Hanes Men's ComfortFlex Fit Briefs (4-pack),Hanes,1000,20 x 15,280
Mainstays Cooling Gel Pillow,Mainstays,280,60 x 40,1300
Mainstays Memory Foam Mattress Topper (Queen),Mainstays,150,50 x 35,3000
Mainstays Outdoor Chair Cushion,Mainstays,100,50 x 45,800
George Men's V-Neck T-Shirt (5-pack),George,1200,25 x 20,200
Hanes Women's Crewneck Sweatshirt,Hanes,400,30 x 25,500
Wonder Nation Kids' Activewear Shorts,Wonder Nation,650,20 x 15,150
Mainstays Fleece Throw Blanket,Mainstays,700,30 x 25,700
Mainstays Kids' Character Sheet Set (Twin),Mainstays,350,30 x 25,900
Mainstays Oversized Bath Towel,Mainstays,750,35 x 30,650
Mainstays Kitchen Runner Rug,Mainstays,200,50 x 20,400
George Men's Denim Shorts,George,300,30 x 25,500
