Date,Time,Store_ID,Transaction_ID,Customer_ID,Customer_Type,Category,Product_Name,Quantity,Unit_Cost,Unit_Price,Discount_Rate,Discount_Amount,Subtotal,Tax_Amount,Total_Amount,Gross_Profit,Profit_Margin_Percent,Payment_Method,Day_of_Week,Month,Hour_of_Day,Transaction_Total,Items_Per_Transaction
2024-01-01,08:30:00,Store_A,Store_A_T000015,CUST_8380,New,Electronics,Smart Watch,1,80,192.53,0,0,192.53,15.4,207.93,112.53,58.4,Debit Card,Monday,January,8,215.46,2
2024-01-01,08:30:00,Store_A,Store_A_T000015,CUST_8380,New,Food,Breakfast Cereal,1,2.5,6.97,0,0,6.97,0.56,7.53,4.47,64.1,Debit Card,Monday,January,8,215.46,2
2024-01-01,08:35:00,Store_A,Store_A_T000010,CUST_0306,Returning,Pharmaceuticals,Bandages Pack,1,2,6.96,0,0,6.96,0.56,7.51,4.96,71.2,Cash,Monday,January,8,86.73,2
2024-01-01,08:35:00,Store_A,Store_A_T000010,CUST_0306,Returning,Textiles,Dress Shirt,2,10,36.67,0,0,73.35,5.87,79.22,53.35,72.7,Cash,Monday,January,8,86.73,2
2024-01-01,08:41:00,Store_A,Store_A_T000032,CUST_9875,New,Pharmaceuticals,Cough Syrup,1,3,13.5,0,0,13.5,1.08,14.58,10.5,77.8,Debit Card,Monday,January,8,24.77,2
2024-01-01,08:41:00,Store_A,Store_A_T000032,CUST_9875,New,Pharmaceuticals,Pain Relief Tablets,1,2.5,9.43,0,0,9.43,0.75,10.19,6.93,73.5,Debit Card,Monday,January,8,24.77,2
2024-01-01,08:42:00,Store_A,Store_A_T000047,CUST_0014,Returning,Electronics,USB Flash Drive,1,8,25.89,0,0,25.89,2.07,27.96,17.89,69.1,Cash,Monday,January,8,49.44,2
2024-01-01,08:42:00,Store_A,Store_A_T000047,CUST_0014,Returning,Food,Olive Oil (500ml),2,4,9.94,0,0,19.89,1.59,21.48,11.89,59.8,Cash,Monday,January,8,49.44,2
2024-01-01,08:45:00,Store_A,Store_A_T000057,CUST_0194,Returning,Pharmaceuticals,Pain Relief Tablets,1,2.5,9.15,0,0,9.15,0.73,9.88,6.65,72.7,Credit Card,Monday,January,8,50.79,2
2024-01-01,08:45:00,Store_A,Store_A_T000057,CUST_0194,Returning,Pharmaceuticals,Cough Syrup,3,3,12.63,0,0,37.88,3.03,40.91,28.88,76.2,Credit Card,Monday,January,8,50.79,2
2024-01-01,09:21:00,Store_A,Store_A_T000013,CUST_0344,Returning,Textiles,Kids' Jeans,1,12,29.03,0,0,29.03,2.32,31.36,17.03,58.7,Debit Card,Monday,January,9,59.21,2
2024-01-01,09:21:00,Store_A,Store_A_T000013,CUST_0344,Returning,Pharmaceuticals,Pain Relief Tablets,3,2.5,8.6,0,0,25.79,2.06,27.85,18.29,70.9,Debit Card,Monday,January,9,59.21,2
2024-01-01,09:25:00,Store_A,Store_A_T000042,CUST_5528,New,Textiles,Winter Jacket,1,25,78.04,0,0,78.04,6.24,84.29,53.04,68,Debit Card,Monday,January,9,184.11,2
2024-01-01,09:25:00,Store_A,Store_A_T000042,CUST_5528,New,Electronics,Tablet Case,3,10,30.81,0,0,92.43,7.39,99.82,62.43,67.5,Debit Card,Monday,January,9,184.11,2
2024-01-01,09:28:00,Store_A,Store_A_T000056,CUST_0107,Returning,Textiles,Athletic Shorts,1,6,20.14,0,0,20.14,1.61,21.75,14.14,70.2,Debit Card,Monday,January,9,32.76,2
2024-01-01,09:28:00,Store_A,Store_A_T000056,CUST_0107,Returning,Pharmaceuticals,Hand Sanitizer,2,1.5,5.1,0,0,10.19,0.82,11.01,7.19,70.6,Debit Card,Monday,January,9,32.76,2
2024-01-01,09:32:00,Store_A,Store_A_T000033,CUST_0447,Returning,Electronics,Portable Speaker,1,35,95.13,0,0,95.13,7.61,102.74,60.13,63.2,Mobile Payment,Monday,January,9,112.04,2
2024-01-01,09:32:00,Store_A,Store_A_T000033,CUST_0447,Returning,Food,Pasta Pack,3,1,3.13,8.2,0.77,8.61,0.69,9.3,5.61,65.2,Mobile Payment,Monday,January,9,112.04,2
